company_id,company_name,equity_ticker,cds_ticker,redcode,shortname,match_type
913277,CLARUS CORPORATION,CLAR,CLAR,HI5CC7,CLARIANT AG,exact_ticker
21076,THE CLOROX COMPANY,CLX,CLX,19H959,CLOROX CO,exact_ticker
909832,COSTCO WHOLESALE CORP /NEW,COST,COST,2E376K,COSTCO WHSL CORP,exact_ticker
16732,THE CAMPBELL'S COMPANY,CPB,CPB,1E786B,CAMPBELL SOUP CO,exact_ticker
790051,CARLISLE COMPANIES INCORPORATED,CSL,CSL,1F656C,CARLISLE COS INC,exact_ticker
277948,CSX CORPORATION,CSX,CSX,138A48,CSX CORP,exact_ticker
27904,"DELTA AIR LINES, INC.",DAL,DAL,26BA97,DELTA AIR LINES INC,exact_ticker
28917,"DILLARD'S, INC.",DDS,DDS,2H946D,DILLARDS INC,exact_ticker
315189,DEERE & CO,DE,DE,2G85AI,DEERE & CO,exact_ticker
29534,DOLLAR GENERAL CORPORATION,DG,DG,27BCCF,$ GEN CORP,exact_ticker
882184,"D.R. Horton, Inc.",DHI,DHI,2F664B,D R HORTON INC,exact_ticker
27996,DELUXE CORPORATION,DLX,DLX,UW6BFH,DELUXE CORP,exact_ticker
29905,Dover Corporation,DOV,DOV,2I6003,DOVER CORP,exact_ticker
940944,DARDEN RESTAURANTS INC,DRI,DRI,25A8AD,DARDEN RESTAURANTS INC,exact_ticker
1065088,eBay Inc.,EBAY,EBAY,29FEA6,EBAY INC.,exact_ticker
33185,EQUIFAX INC.,EFX,EFX,2BD86B,EQUIFAX INC,exact_ticker
1001250,Estee Lauder Companies Inc,EL,EL,569C7C,ESTEE LAUDER COS INC,exact_ticker
32604,Emerson Electric Co.,EMR,EMR,2BA112,EMERSON ELEC CO,exact_ticker
37996,FORD MOTOR CO,F,F,3H98A7,FORD MTR CO,exact_ticker
1048911,FedEx Corporation,FDX,FDX,3E56A5,FEDEX CORP,exact_ticker
1124198,FLUOR CORPORATION,FLR,FLR,3H7753,FLUOR CORP,exact_ticker
39911,"GAP, INC",GAP,GAP,3C907E,GT ATLANTIC & PACIFIC TEA CO INC,exact_ticker
40533,GENERAL DYNAMICS CORPORATION,GD,GD,39FEA5,GEN DYNAMICS CORP,exact_ticker
40545,GENERAL ELECTRIC COMPANY,GE,GE,39FF64,GEN ELEC CO,exact_ticker
40704,"GENERAL MILLS, INC.",GIS,GIS,3A7367,GEN MLS INC,exact_ticker
42582,THE GOODYEAR TIRE & RUBBER COMPANY,GT,GT,3BA7A5,GOODYEAR TIRE & RUBR CO,exact_ticker
46080,"Hasbro, Inc.",HAS,HAS,4F985B,HASBRO INC,exact_ticker
354950,"HOME DEPOT, INC.",HD,HD,47A77D,HOME DEPOT INC,exact_ticker
46619,HEICO CORPORATION,HEI,HEI,DG48AB,HEIDELBERGCEMENT AG,exact_ticker
773840,HONEYWELL INTERNATIONAL INC,HON,HON,47BD67,HONEYWELL INTL INC,exact_ticker
357294,HOVNANIAN ENTERPRISES INC,HOV,HOV,4I66CF,HOVNANIAN ENTPERS INC,exact_ticker
12659,"H&R Block, Inc.",HRB,HRB,09C9D8,H & R BLOCK INC,exact_ticker
1158463,JETBLUE AIRWAYS CORP,JBLU,JBLU,4BE857,JETBLUE AWYS CORP,exact_ticker
795266,KB HOME,KBH,KBH,4CECCQ,KB HOME,exact_ticker
55785,KIMBERLY-CLARK CORPORATION,KMB,KMB,4DD79E,KIMBERLYCLARK CORP,exact_ticker
21344,COCA COLA CO,KO,KO,1AA337,COCACOLA CO,exact_ticker
56873,Kroger Co.,KR,KR,5F1148,THE KROGER CO.,exact_ticker
885639,KOHL’S CORP,KSS,KSS,5F027A,KOHLS CORP,exact_ticker
912766,"Laureate Education, Inc.",LAUR,LAUR,569E74,LAUREATE ED INC,exact_ticker
920760,LENNAR CORP /NEW/,LEN,LEN,5H865C,LENNAR CORP,exact_ticker
936468,LOCKHEED MARTIN CORPORATION,LMT,LMT,58CHB3,LOCKHEED MARTIN CORP,exact_ticker
60667,LOWES COMPANIES INC,LOW,LOW,59CEC7,LOWES COS INC,exact_ticker
92380,SOUTHWEST AIRLINES CO,LUV,LUV,8C8BB5,SOUTHWEST AIRLS CO,exact_ticker
794367,"Macy's, Inc.",M,M,5AB77V,MACY S INC,exact_ticker
1048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,MAR,5C8A93,MARRIOTT INTL INC,exact_ticker
62996,Masco Corporation,MAS,MAS,5CB9EI,MASCO CORP,exact_ticker
63276,MATTEL INC /DE/,MAT,MAT,5CE789,MATTEL INC,exact_ticker
63908,McDONALD’S CORPORATION,MCD,MCD,5D8148,MCDONALDS CORP,exact_ticker
851968,"MOHAWK INDUSTRIES, INC.",MHK,MHK,6G89A9,MOHAWK INDS INC,exact_ticker
66740,3M COMPANY,MMM,MMM,8GDCG7,3M CO,exact_ticker
764180,"ALTRIA GROUP, INC.",MO,MO,0C4291,ALTRIA GP INC,exact_ticker
61986,"The Manitowoc Company, Inc.",MTW,MTW,UZB94S,MANITOWOC CO INC,exact_ticker
1350593,"MUELLER WATER PRODUCTS, INC.",MWA,MWA,5EB8BE,MET WATER DIST OF SOUTHERN CA,exact_ticker
320187,"NIKE, Inc.",NKE,NKE,6B9516,NIKE INC,exact_ticker
702165,NORFOLK SOUTHERN CORPORATION,NSC,NSC,6BADC8,NORFOLK STHN CORP,exact_ticker
906163,"NVR, Inc.",NVR,NVR,68BD8X,NVR INC,exact_ticker
78814,PITNEY BOWES INC /DE/,PBI,PBI,7J68BG,PITNEY BOWES INC,exact_ticker
77476,"PepsiCo, Inc.",PEP,PEP,7I478C,PEPSICO INC,exact_ticker
80424,PROCTER & GAMBLE CO,PG,PG,7B6989,PROCTER & GAMBLE CO,exact_ticker
85961,"RYDER SYSTEM, INC.",R,R,7FB89D,RYDER SYS INC,exact_ticker
1024478,"ROCKWELL AUTOMATION, INC",ROK,ROK,7EAC93,ROCKWELL AUTOMATION INC,exact_ticker
