company_id,company_name,equity_ticker,cds_ticker,redcode,shortname,match_type
0000033185,EQUIFAX INC.,EFX,EFX,2BD86B,EQUIFAX INC,exact_ticker
0001001250,Estee Lauder Companies Inc,EL,EL,569C7C,ESTEE LAUDER COS INC,exact_ticker
0000032604,Emerson Electric Co.,EMR,EMR,2BA112,EMERSON ELEC CO,exact_ticker
0000037996,FORD MOTOR CO,F,F,3H98A7,FORD MTR CO,exact_ticker
0001048911,FedEx Corporation,FDX,FDX,3E56A5,FEDEX CORP,exact_ticker
0001124198,FLUOR CORPORATION,FLR,FLR,3H7753,FLUOR CORP,exact_ticker
0000039911,"GAP, INC",GAP,GAP,3C907E,GT ATLANTIC & PACIFIC TEA CO INC,exact_ticker
0000040533,GENERAL DYNAMICS CORPORATION,GD,GD,39FEA5,GEN DYNAMICS CORP,exact_ticker
0000040545,GENERAL ELECTRIC COMPANY,GE,GE,39FF64,GEN ELEC CO,exact_ticker
0000040704,"GENERAL MILLS, INC.",GIS,GIS,3A7367,GEN MLS INC,exact_ticker
0000042582,THE GOODYEAR TIRE & RUBBER COMPANY,GT,GT,3BA7A5,GOODYEAR TIRE & RUBR CO,exact_ticker
0000046080,"Hasbro, Inc.",HAS,HAS,4F985B,HASBRO INC,exact_ticker
0000354950,"HOME DEPOT, INC.",HD,HD,47A77D,HOME DEPOT INC,exact_ticker
0000046619,HEICO CORPORATION,HEI,HEI,DG48AB,HEIDELBERGCEMENT AG,exact_ticker
0000773840,HONEYWELL INTERNATIONAL INC,HON,HON,47BD67,HONEYWELL INTL INC,exact_ticker
0000357294,HOVNANIAN ENTERPRISES INC,HOV,HOV,4I66CF,HOVNANIAN ENTPERS INC,exact_ticker
0000012659,"H&R Block, Inc.",HRB,HRB,09C9D8,H & R BLOCK INC,exact_ticker
0001158463,JETBLUE AIRWAYS CORP,JBLU,JBLU,4BE857,JETBLUE AWYS CORP,exact_ticker
0000795266,KB HOME,KBH,KBH,4CECCQ,KB HOME,exact_ticker
0000055785,KIMBERLY-CLARK CORPORATION,KMB,KMB,4DD79E,KIMBERLYCLARK CORP,exact_ticker
0000021344,COCA COLA CO,KO,KO,1AA337,COCACOLA CO,exact_ticker
0000056873,Kroger Co.,KR,KR,5F1148,THE KROGER CO.,exact_ticker
0000885639,KOHL’S CORP,KSS,KSS,5F027A,KOHLS CORP,exact_ticker
0000912766,"Laureate Education, Inc.",LAUR,LAUR,569E74,LAUREATE ED INC,exact_ticker
0000920760,LENNAR CORP /NEW/,LEN,LEN,5H865C,LENNAR CORP,exact_ticker
0000936468,LOCKHEED MARTIN CORPORATION,LMT,LMT,58CHB3,LOCKHEED MARTIN CORP,exact_ticker
0000060667,LOWES COMPANIES INC,LOW,LOW,59CEC7,LOWES COS INC,exact_ticker
0000092380,SOUTHWEST AIRLINES CO,LUV,LUV,8C8BB5,SOUTHWEST AIRLS CO,exact_ticker
0000794367,"Macy's, Inc.",M,M,5AB77V,MACY S INC,exact_ticker
