driver_family,feature,horizon_label,model_name,evaluation_type,lambda,validation_rows,company_count,sectors,mae_fundamentals,mae_model,mae_improvement_vs_fundamentals,mae_improvement_ci_low,mae_improvement_ci_high,directional_hit_rate,rank_ic
growth,revenue_growth,1Y,current_level_only,baseline,,16,8,"['25', '30', '45']",0.0016405505897578048,0.001976805585423554,-0.20496472206650496,-1.342138214580164,0.41627850657512583,1.0,0.9963210938661529
growth,revenue_growth,1Y,momentum_only,baseline,,16,8,"['25', '30', '45']",0.0016405505897578048,0.0035699399811595853,-1.1760621119807206,-1.688932902269725,-0.7555768431684833,1.0,0.9808142120446959
growth,revenue_growth,1Y,peer_median,baseline,,16,8,"['25', '30', '45']",0.0016405505897578048,0.013250000000000001,-7.076556786923653,-13.67286433851238,-3.214194323785923,1.0,-0.06784066926615713
growth,revenue_growth,1Y,fundamentals,baseline,,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016405505897578048,0.0,0.0,0.0,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_0.00,actual,0.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016405505897578048,0.0,0.0,0.0,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_0.10,actual,0.1,16,8,"['25', '30', '45']",0.0016405505897578048,0.0015302820450494392,0.06721435193573921,0.038689393699936195,0.0951138493905391,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_0.20,actual,0.2,16,8,"['25', '30', '45']",0.0016405505897578048,0.0014200135003410736,0.13442870387147843,0.0751077912374451,0.18535155704952233,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_0.35,actual,0.35,16,8,"['25', '30', '45']",0.0016405505897578048,0.0012546106832785255,0.23525023177508708,0.11775371967585556,0.32329452866158487,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_0.50,actual,0.5,16,8,"['25', '30', '45']",0.0016405505897578048,0.001091805447774067,0.3344884000588787,0.1771372564351319,0.45685197621120155,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_0.65,actual,0.65,16,8,"['25', '30', '45']",0.0016405505897578048,0.0009512303929549316,0.4201761293473052,0.21340105543168827,0.5751467884827155,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_0.80,actual,0.8,16,8,"['25', '30', '45']",0.0016405505897578048,0.0008476511558467306,0.48331300409829503,0.2272304585558267,0.6805150836464496,1.0,0.9992644353546792
growth,revenue_growth,1Y,gap_lambda_1.00,actual,1.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0007968764800211053,0.5142627816562801,0.1960255191976562,0.7043562974394194,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_0.00,placebo,0.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016405505897578048,0.0,0.0,0.0,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_0.10,placebo,0.1,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016354907663668336,0.003084222713130913,-0.014782367778210896,0.021543228201816426,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_0.20,placebo,0.2,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016304309429758614,0.00616844542626227,-0.0363722585277043,0.05086428350340468,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_0.35,placebo,0.35,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016493091898027992,-0.005338817406592478,-0.06394998299361007,0.04108115279539158,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_0.50,placebo,0.5,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016713545562970548,-0.018776602642773366,-0.10171353026219263,0.0457465889098649,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_0.65,placebo,0.65,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016933999227913099,-0.032214387878954254,-0.1431818648938956,0.05657747308978165,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_0.80,placebo,0.8,16,8,"['25', '30', '45']",0.0016405505897578048,0.0017154452892855663,-0.04565217311513581,-0.19232807678198044,0.07240902267286382,1.0,0.9992644353546792
growth,revenue_growth,1Y,shuffled_gap_lambda_1.00,placebo,1.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0017448391112779068,-0.0635692200967104,-0.2542593749958871,0.07345430291675524,1.0,0.9963210938661529
growth,revenue_growth,1Y,wrong_sector_gap_lambda_0.00,sanity_check,0.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016405505897578048,0.0,0.0,0.0,1.0,0.9992644353546792
growth,revenue_growth,1Y,wrong_sector_gap_lambda_0.10,sanity_check,0.1,16,8,"['25', '30', '45']",0.0016405505897578048,0.0015002148151107247,0.08554187571125005,0.059752412012583696,0.1083314688606406,1.0,0.9992644353546792
growth,revenue_growth,1Y,wrong_sector_gap_lambda_0.20,sanity_check,0.2,16,8,"['25', '30', '45']",0.0016405505897578048,0.0013598790404636438,0.17108375142250065,0.12618899909722725,0.22098951793873162,1.0,0.9992644353546792
growth,revenue_growth,1Y,wrong_sector_gap_lambda_0.35,sanity_check,0.35,16,8,"['25', '30', '45']",0.0016405505897578048,0.0011493753784930238,0.2993965649893755,0.21589021910249162,0.37592738148440563,1.0,0.9992644353546792
growth,revenue_growth,1Y,wrong_sector_gap_lambda_0.50,sanity_check,0.5,16,8,"['25', '30', '45']",0.0016405505897578048,0.000978532448232955,0.4035341218112536,0.27384624759455845,0.49583120942759074,1.0,0.9992644353546792
growth,revenue_growth,1Y,wrong_sector_gap_lambda_0.65,sanity_check,0.65,16,8,"['25', '30', '45']",0.0016405505897578048,0.000815225388027024,0.5030781780722922,0.345713818981717,0.6153830784595906,1.0,0.9992644353546792
growth,revenue_growth,1Y,wrong_sector_gap_lambda_0.80,sanity_check,0.8,16,8,"['25', '30', '45']",0.0016405505897578048,0.0006589822151996049,0.5983164314994451,0.3830580844220847,0.7483912793497586,1.0,0.9992644353546792
growth,revenue_growth,1Y,wrong_sector_gap_lambda_1.00,sanity_check,1.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0005780053499544505,0.6476759975809209,0.40544994698059617,0.818134118450406,1.0,0.9992644353546792
growth,revenue_growth,1Y,random_driver_gap_lambda_0.00,sanity_check,0.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0016405505897578048,0.0,0.0,0.0,1.0,0.9992644353546792
growth,revenue_growth,1Y,random_driver_gap_lambda_0.10,sanity_check,0.1,16,8,"['25', '30', '45']",0.0016405505897578048,0.0015537614787494616,0.052902428946830504,0.016564740881413846,0.07955645859538542,1.0,0.9992644353546792
growth,revenue_growth,1Y,random_driver_gap_lambda_0.20,sanity_check,0.2,16,8,"['25', '30', '45']",0.0016405505897578048,0.0014669723677411184,0.10580485789366112,0.05212149841293971,0.1559565004467022,1.0,0.9992644353546792
growth,revenue_growth,1Y,random_driver_gap_lambda_0.35,sanity_check,0.35,16,8,"['25', '30', '45']",0.0016405505897578048,0.0013367887012286036,0.18515850131390688,0.08133177585838701,0.26682310176859153,1.0,0.9992644353546792
growth,revenue_growth,1Y,random_driver_gap_lambda_0.50,sanity_check,0.5,16,8,"['25', '30', '45']",0.0016405505897578048,0.001206605034716088,0.2645121447341532,0.1342056711122599,0.3995983464610422,1.0,0.9992644353546792
growth,revenue_growth,1Y,random_driver_gap_lambda_0.65,sanity_check,0.65,16,8,"['25', '30', '45']",0.0016405505897578048,0.0010764213682035732,0.34386578815439894,0.16538215531397285,0.5120708450703654,1.0,0.9992644353546792
